9782,1951,13,7866.1587,424.5486,5829.2576,JIqPF,vX,NpNlqZcDHlRNKj,crzC
4811,-7932,-3812,9629.0749,6541.1268,-3296.6908,SUzlBQhCkthJUVMH,WnMAHXEYuqgmCqFM,ggVcakyjhnNUPIbVUol,fIbkYeGBzo
5834,-2018,7469,-7421.4132,7316.0541,-6621.1941,VkcTmv,gyroADaggtxVoQjk,aROYbBuyXWhljzTcMxs,zLSSqknAbD
-1671,-1147,1032,2701.1797,6761.1546,2546.1409,aXshGDejl,BPangUZXFiuYzZn,bStdhsS,F
6381,-7550,6218,-3799.1379,6738.06,364.1632,JVuBqKcIlK,CBX,ZLblYtqxoZsEbFPfENYX,RzVPmLLsZDp
-5295,-9444,7006,-4272.6228,9730.6159,6698.3028,wPLGJ,EiHaHNFvKZxQ,GngOwip,swIpe
6743,-345,-7862,-7298.3836,9858.3722,-9656.2227,NZyLDseiozeAqrlDNwy,KmTr,XSbDOfHozy,cSFgTwjLaYYJKEK
7812,-6570,-8877,1336.9951,1284.1322,-462.4134,gaaCwjpSyWSNawStq,MJONrSZHZX,xQIXOnLnjYVkou,XmgSGxmOwLLwfeQfbYkP
5033,404,-6924,-7494.3147,8965.4636,-8477.6686,V,joYfcvZlrUuFMWGzRxz,EHuqJKHZsW,c
470,-7825,-9679,7569.8049,-6328.7578,6566.0935,JmLWwxhReE,F,HYH,EgYmcLvtMcbDDcJIQV
-3375,-937,-166,-7672.6834,7035.8027,-4268.4611,eMeMrMQIOXAFdP,ieCDGfWsyxhx,WYSUiRvDOzeYmpE,BalGlYOmrZP
-89,6703,-3123,-2639.7671,-9020.9401,-1261.9653,zJOlxZyCkOhISD,SBcoH,UczZCNQIw,HbhXvZlxafqCiKHcd
6231,-19,7309,4122.2311,365.1538,-3206.975,zaPiiwUTVL,sAZec,t,uelIfsST
-1877,2352,2022,-2811.498,-5896.1238,3518.7187,ZoepShQiCgWy,DYVSGMtuqPVlaNrUQHf,oqCq,HDCzSSroYntfR
311,7455,-5613,-9662.2202,5706.3461,4488.5548,jEfAHeHz,JCzLr,JuQFpHTjWXZyYmxaDn,DDEtnAUUeffwNUvR
-4999,3049,-4982,5078.1866,-3740.8492,744.4593,ewCeT,xCTGiHaGuOaAyG,fzTrNsTVjAsWq,ybG
97,-1816,1161,-5915.2583,-7213.8406,8631.6321,pwoOWjWYnImLyEgDMnx,HHQhRolOwlkYU,pegJaqAUNTPUQIOp,UqjvtAx
-3299,6022,4988,8233.5775,7532.2199,4752.662,OBUDdyX,CQUSDwIxcDmgTsGfh,xreUuRIVGd,kyhBF
6800,5786,2184,-1392.1501,-9024.3699,-970.0502,EhUsrfLsnh,rSAmkAuk,PARgaQgmFUCnxYFLkrIL,JFOgNCmxpbcPkQuD
-8236,-9891,-2990,-1354.7832,-4199.2097,-3857.9145,sCFtcVHoJwzLrusPJ,Z,ENUhlzAqE,IpWKoGQqDgYBP
2045,681,-9993,-5012.0159,-4747.5536,3375.7796,Zpj,kBdyc,VJowiccsjgYvL,YLrJhkXFGzM
5255,-9667,-5984,-9714.8499,-1376.7161,8259.3855,GHpYfwWWEbYYeORegXF,euBOdoOVGTeL,fnvanPo,YGNzeqP
5502,-1109,7161,3453.1292,2298.5337,-8952.8052,XOBvvfxpcGT,vbjZULpZmSV,BUOPwgWIMiwBpbsUaR,XX
-2306,3441,479,-8379.1056,-9010.3526,2925.7864,Syjc,ReuqtLGqYuyMpyu,gZBEnrVyXVT,oITYONkRkhURMNB
6012,-8667,1791,6669.0982,-7854.6733,2924.5799,pj,iAqWo,EPRioroD,ZSKPXlzsKrd
